jaccard_similarity,length_ratio,bleu,rouge_l,bertscore,flesch_kincaid_grade,gunning_fog_index,flesch_reading_ease,age_appropriate,label,bertscore_precision,bertscore_recall,bertscore_f1
0.4563758389261745,1.089655172413793,,0.5523809523809523,0.9333213567733765,8.2,8.06,64.0,True,SAFE,0.9218930602073669,0.9450365304946899,0.9333213567733765
0.4195804195804196,1.0335570469798658,,0.4792332268370607,0.9317077994346619,7.2,9.21,77.47,True,SAFE,0.9284210801124573,0.9350179433822632,0.9317077994346619
0.3274336283185841,0.5306122448979592,,0.4366812227074236,0.886493980884552,9.5,9.71,60.65,True,SAFE,0.9176846742630005,0.8573538661003113,0.886493980884552
0.49122807017543857,0.7635135135135135,,0.5639097744360902,0.9384645819664001,9.4,9.98,60.95,True,SAFE,0.9483757019042969,0.928758442401886,0.9384645819664001
0.6356589147286822,1.0987654320987654,,0.6824925816023739,0.9548265933990479,8.9,9.93,62.38,True,SENSITIVE,0.9531580805778503,0.9565010070800781,0.9548265933990479
0.3333333333333333,1.2147651006711409,,0.35502958579881666,0.9149008393287659,9.7,12.33,65.56,True,SAFE,0.9078789949417114,0.9220320582389832,0.9149008393287659
0.625,0.5404411764705882,,0.7066381156316917,0.9412178993225098,10.7,11.96,46.67,True,SENSITIVE,0.9870312213897705,0.8994687795639038,0.9412178993225098
0.4666666666666667,1.6036036036036037,,0.47517730496453897,0.9433762431144714,11.2,10.16,45.46,True,SENSITIVE,0.9297921657562256,0.9573631286621094,0.9433762431144714
0.3333333333333333,1.7395833333333333,,0.3787878787878788,0.8985326290130615,9.0,10.97,67.28,True,SAFE,0.8851004838943481,0.9123787879943848,0.8985326290130615
0.3375796178343949,1.1428571428571428,,0.4647887323943662,0.9134690165519714,7.9,9.18,64.81,True,SENSITIVE,0.9026100635528564,0.9245923757553101,0.9134690165519714
